iso3,country,region,subregion,capital,lat,lon,population_master,population_wb,population_year,gdp_usd,gdp_usd_year,gdp_per_capita_usd,gdp_per_capita_usd_year,life_expectancy,life_expectancy_year,population,population_source,as_of_utc
SVK,Slovakia,Europe,Central Europe,Bratislava,48.66666666,19.5,5413813,5422069.0,2024,140934076532.375,2024,25992.6748502048,2024,78.3707317073171,2024,5422069.0,world_bank,2026-05-23T05:48:00+00:00
BLR,Belarus,Europe,Eastern Europe,Minsk,53.0,28.0,9109280,9132629.0,2024,75961865471.9129,2024,8317.63399913792,2024,74.3653414634147,2024,9132629.0,world_bank,2026-05-23T05:48:00+00:00
VNM,Vietnam,Asia,South-Eastern Asia,Hanoi,16.16666666,107.83333333,101343800,100987686.0,2024,476388230307.175,2024,4717.29028732449,2024,74.736,2024,100987686.0,world_bank,2026-05-23T05:48:00+00:00
VIR,United States Virgin Islands,Americas,Caribbean,Charlotte Amalie,18.35,-64.933333,87146,104377.0,2024,4672000000.0,2022,44320.909185774,2022,80.7707317073171,2024,104377.0,world_bank,2026-05-23T05:48:00+00:00
GIB,Gibraltar,Europe,Southern Europe,Gibraltar,36.13333333,-5.35,38000,39329.0,2024,,,,,83.63,2024,39329.0,world_bank,2026-05-23T05:48:00+00:00
SXM,Sint Maarten,Americas,Caribbean,Philipsburg,18.033333,-63.05,41349,43350.0,2024,1797836665.95136,2024,41472.5874498583,2024,76.528,2024,43350.0,world_bank,2026-05-23T05:48:00+00:00
ALA,Åland Islands,Europe,Northern Europe,Mariehamn,60.116667,19.9,30654,,,,,,,,,30654.0,master,2026-05-23T05:48:00+00:00
SYR,Syria,Asia,Western Asia,Damascus,35.0,38.0,25620000,24672760.0,2024,23622827079.5047,2022,1051.67149587463,2022,72.56,2024,24672760.0,world_bank,2026-05-23T05:48:00+00:00
MTQ,Martinique,Americas,Caribbean,Fort-de-France,14.666667,-61.0,349925,,,,,,,,,349925.0,master,2026-05-23T05:48:00+00:00
GRL,Greenland,Americas,North America,Nuuk,72.0,-40.0,56542,56836.0,2024,3326543974.39193,2023,58498.9707973609,2023,70.2734146341463,2024,56836.0,world_bank,2026-05-23T05:48:00+00:00
HND,Honduras,Americas,Central America,Tegucigalpa,15.0,-86.5,9892632,10825703.0,2024,37093565854.0437,2024,3426.43483328923,2024,73.044,2024,10825703.0,world_bank,2026-05-23T05:48:00+00:00
TUN,Tunisia,Africa,Northern Africa,Tunis,34.0,9.0,11972169,12277109.0,2024,51332285656.5422,2024,4181.13789301228,2024,76.711,2024,12277109.0,world_bank,2026-05-23T05:48:00+00:00
COM,Comoros,Africa,Eastern Africa,Moroni,-12.16666666,44.25,919901,866628.0,2024,1440991455.45188,2024,1662.75663312504,2024,67.023,2024,866628.0,world_bank,2026-05-23T05:48:00+00:00
SVN,Slovenia,Europe,Central Europe,Ljubljana,46.11666666,14.81666666,2130638,2127400.0,2024,72972015197.3859,2024,34301.0318686594,2024,82.2853658536585,2024,2127400.0,world_bank,2026-05-23T05:48:00+00:00
CHE,Switzerland,Europe,Western Europe,Bern,47.0,8.0,9082848,9005582.0,2024,936564198048.516,2024,103998.186685604,2024,84.4073170731707,2024,9005582.0,world_bank,2026-05-23T05:48:00+00:00
GGY,Guernsey,Europe,Northern Europe,St. Peter Port,49.46666666,-2.58333333,64781,,,,,,,,,64781.0,master,2026-05-23T05:48:00+00:00
MMR,Myanmar,Asia,South-Eastern Asia,Naypyidaw,22.0,98.0,51316756,54500091.0,2024,74068349523.8095,2024,1359.05001560107,2024,67.095,2024,54500091.0,world_bank,2026-05-23T05:48:00+00:00
PRY,Paraguay,Americas,South America,Asunción,-23.0,-58.0,6109644,6929153.0,2024,44458118397.4445,2024,6416.09708970845,2024,73.982,2024,6929153.0,world_bank,2026-05-23T05:48:00+00:00
